2026-04-29 12:43:27.656 trce: Venue.Src.Core.TradeLogging.TradeLogger[0]                         | 04/30/2026 13:43:27 Recorded equity 9129.071238035626924447236261 
2026-04-29 12:43:27.656 trce: Venue.Src.Application.Simulator[0]                                 |  

similar logs ...

2026-04-29 12:43:27.657 trce: Venue.Src.Application.Simulator[0]                                 |  
2026-04-29 12:43:27.657 trce: Venue.Src.Application.Simulator[0]                                 | 05/01/2026 16:43:27: Processing tick: O=143.73976482941256148006760956, H=144.97271095666663542565649412, L=143.06354779254101227355349487, C=143.73976482941256148006760956, V=20242148, Spread=0.01
2026-04-29 12:43:27.657 trce: Venue.Src.Core.Execution.Broker.Broker[0]                          | 05/01/2026 16:43:27 Processing orders.
2026-04-29 12:43:27.657 dbug: Venue.Src.Core.Execution.Broker.Broker[0]                          | No active orders to process.
2026-04-29 12:43:27.657 trce: Venue.Src.Core.Portfolio.PortfolioManager[0]                       | Updated market price for position. Symbol: EURUSD, Current Price: 143.73976482941256148006760956.
2026-04-29 12:43:27.657 trce: Venue.Src.Strategies.Library.MACStrategy.MACStrategy[0]            | Updated indicators. ShortTermMA: 142.40141704609429523875038922, LongTermMA: 142.59251607309080248771755149.
2026-04-29 12:43:27.657 trce: Venue.Src.Strategies.Library.MACStrategy.MACStrategy[0]            | Current position status. IsFlat: False, Position: Symbol: EURUSD, Direction: Short, Quantity: -3, AverageEntryPrice: 145.70048747115491418396158719.
2026-04-29 12:43:27.657 trce: Venue.Src.Core.TradeLogging.TradeLogger[0]                         | 05/01/2026 16:43:27 Recorded equity 9131.649243098297573007912409 
2026-04-29 12:43:27.657 trce: Venue.Src.Application.Simulator[0]                                 |  
2026-04-29 12:43:27.657 trce: Venue.Src.Application.Simulator[0]                                 | ===========================================END OF TICK===========================================
2026-04-29 12:43:27.657 trce: Venue.Src.Application.Simulator[0]                                 |  
2026-04-29 12:43:27.657 trce: Venue.Src.Application.Simulator[0]                                 | 05/01/2026 17:43:27: Processing tick: O=144.97031889814674478866563386, H=145.60618269244947370326984769, L=143.95538847719744447245412371, C=144.97031889814674478866563386, V=17649173, Spread=0.01
2026-04-29 12:43:27.657 trce: Venue.Src.Core.Execution.Broker.Broker[0]                          | 05/01/2026 17:43:27 Processing orders.
2026-04-29 12:43:27.657 dbug: Venue.Src.Core.Execution.Broker.Broker[0]                          | No active orders to process.
2026-04-29 12:43:27.657 trce: Venue.Src.Core.Portfolio.PortfolioManager[0]                       | Updated market price for position. Symbol: EURUSD, Current Price: 144.97031889814674478866563386.
2026-04-29 12:43:27.657 trce: Venue.Src.Strategies.Library.MACStrategy.MACStrategy[0]            | Updated indicators. ShortTermMA: 142.83127998371253900374998309, LongTermMA: 142.54942242534214795925564565.
2026-04-29 12:43:27.657 trce: Venue.Src.Strategies.Library.MACStrategy.MACStrategy[0]            | Current position status. IsFlat: False, Position: Symbol: EURUSD, Direction: Short, Quantity: -3, AverageEntryPrice: 145.70048747115491418396158719.
2026-04-29 12:43:27.657 dbug: Venue.Src.Core.Execution.Broker.Broker[0]                          | Received order submission request. Symbol: EURUSD, Type: Market, Direction: Buy, Quantity: 6, LimitPrice: (null), StopPrice: (null).
2026-04-29 12:43:27.657 dbug: Venue.Src.Core.Execution.Broker.Broker[0]                          | Order accepted and added to active orders. Order ID: 509b37c8-dadb-4a60-b1ea-a4f8e1997694, Symbol: EURUSD, Type: Market, Direction: Buy, Quantity: 6.
2026-04-29 12:43:27.657 trce: Venue.Src.Strategies.Library.MACStrategy.MACStrategy[0]            | Submitted flip order. Symbol: EURUSD, Quantity: 6.
2026-04-29 12:43:27.657 trce: Venue.Src.Core.TradeLogging.TradeLogger[0]                         | 05/01/2026 17:43:27 Recorded equity 9127.957580892095023082118336 
2026-04-29 12:43:27.657 trce: Venue.Src.Application.Simulator[0]                                 |  
2026-04-29 12:43:27.657 trce: Venue.Src.Application.Simulator[0]                                 | ===========================================END OF TICK===========================================
2026-04-29 12:43:27.657 trce: Venue.Src.Application.Simulator[0]                                 |  
